metadata,content
"{""jenis_peraturan"": ""Perpres"", ""nomor_peraturan"": ""6"", ""tahun_peraturan"": ""2023"", ""tipe_bagian"": ""Pasal 1"", ""bagian_dari"": """", ""judul_peraturan"": ""Tentang Sertifikasi Halal Obat, Produk Biologi, Dan Alat Kesehatan"", ""status"": ""berlaku""}","Dalam Peraturan Presiden ini yang dimaksud dengan:
1. Produk Halal adalah produk yang telah dinyatakan
halal sesuai dengan syariat Islam.
2. Produk Biologi adalah produk yang mengandung
bahan biologi yang berasal dari manusia, hewan,
atau mikroorganisme yang dibuat dengan cara
konvensional atau melalui metode bioteknologi.
3. Alat Kesehatan adalah instrumen, aparatus, mesin,
dan/atau implan yang tidak mengandung obat yang
digunakan untuk mencegah, mendiagnosis,
menyembuhkan dan meringankan penyakit,
merawat orang sakit, memulihkan kesehatan pada
manusia, dan/atau membentuk struktur dan
memperbaiki fungsi tubuh.
4. Sertifikat Halal adalah pengakuan kehalalan suatu
produk yang diterbitkan oleh Badan Penyelenggara
Jaminan Produk Halal berdasarkan fatwa halal
tertulis atau penetapan kehalalan produk oleh
Majelis Ulama Indonesia, Majelis Ulama Indonesia
Provinsi, Majelis Ulama Indonesia KabupatenfKota,
Majelis Permusyawaratan Ulama Aceh, atau Komite
Fatwa Produk Halal.
5. Keterangan Tidak Halal adalah pernyataan tidak
halal suatu produk.
6. Pelaku Usaha adalah orang perseorangan atau
badan usaha berbentuk badan hukum atau bukan
badan hukum yang menyelenggarakan kegiatan
usaha di wilayah Indonesia.
7. Pemerintah Pusat adalah Presiden Republik
Indonesia yang memegang kekuasaan pemerintahan
negara Republik Indonesia yang dibantu oleh Wakil
Presiden dan menteri sebagaimana dimaksud dalam
Undang-Undang Dasar Negara
Tahun 1945.
SK No 148730 A
8. Menteri
PRES IDEN
o-o-
Menteri adalah menteri yang menyelenggarakan
urusan pemerintahan di bidang kesehatan."
"{""jenis_peraturan"": ""Perpres"", ""nomor_peraturan"": ""6"", ""tahun_peraturan"": ""2023"", ""tipe_bagian"": ""Pasal 2"", ""bagian_dari"": """", ""judul_peraturan"": ""Tentang Sertifikasi Halal Obat, Produk Biologi, Dan Alat Kesehatan"", ""status"": ""berlaku""}","(1) Obat, Produk Biologi, dan Alat Kesehatan yang
masuk, beredar, dan diperdagangkan di wilayah
Indonesia wajib bersertifikat halal.
(2) Obat sebagaimana dimaksud pada ayat (1)
mencakup bahan obat, obat bebas, obat bebas
terbatas, obat keras, obat tradisional, suplemen
kesehatan, dan obat kuasi.
(3) Obat sebagaimana dimaksud pada ayat (1)
dikecualikan untuk obat golongan narkotika dan
psikotropika.
(4) Produk Biologi sebagaimana dimaksud pada ayat (1)
paling sedikit terdiri atas enzim, antibodi
monoklonal, hormon, sel punca, terapi gen, vaksin,
produk darah, produk rekombinan DNA, dan
immunosera.
(5) Alat Kesehatan sebagaimana dimaksud pada ayat (1)
termasuk reagen in uitro dan kalibrator, perangkat
lunak, dan bahan atau material yang digunakan
tunggal atau kombinasi, untuk menghalangi
pembuahan, desinfeksi Alat Kesehatan, dan
pengujian in uitro terhadap spesimen dari tubuh
manusia, dan dapat mengandung obat yang tidak
mencapai kerja utama pada tubuh manusia melalui
proses farmakologi, imunologi, atau metabolisme
untuk dapat membantu fungsi atau kerja yang
diinginkan.
(6) Alat Kesehatan sebagaimana dimaksud pada ayat (1)
dan ayat (5) hanya bagi yang berasal dari hewan
dan/atau mengandung unsur hewan.
SK No l486t8A"
"{""jenis_peraturan"": ""Perpres"", ""nomor_peraturan"": ""6"", ""tahun_peraturan"": ""2023"", ""tipe_bagian"": ""Pasal 3"", ""bagian_dari"": """", ""judul_peraturan"": ""Tentang Sertifikasi Halal Obat, Produk Biologi, Dan Alat Kesehatan"", ""status"": ""berlaku""}","Pasal 3
Sertifikat Halal sebagaimana dimaksud dalam pasal 2
diberikan terhadap obat, Produk Biologi, dan Alat
Kesehatan yang berasal dari bahan halal dan cara
pembuatan yang halal."
"{""jenis_peraturan"": ""Perpres"", ""nomor_peraturan"": ""6"", ""tahun_peraturan"": ""2023"", ""tipe_bagian"": ""Pasal 4"", ""bagian_dari"": """", ""judul_peraturan"": ""Tentang Sertifikasi Halal Obat, Produk Biologi, Dan Alat Kesehatan"", ""status"": ""berlaku""}","(1) Cara pembuatan yang halal sebagaimana dimaksud
dalam Pasal 3 merupakan pedoman yang digunakan
dalam rangkaian kegiatan pembuatan obat, Produk
Biologi, dan Alat Kesehatan yang halal.
(2) Cara pembuatan yang halal sebagaimana dimaksud
pada ayat (1) merupakan bagian dari proses produk
Halal yang mencakup penyediaan bahan,
pengolahan, penyimpanan, dan pengemasan.
(3) Cara pembuatan yang halal sebagaimana dimaksud
pada ayat (1) bertujuan untuk menjamin kehalalan
obat, Produk Biologi, dan Alat Kesehatan.
(4) Cara pembuatan yang halal sebagaimana dimaksud
pada ayat (1) wajib memenuhi kriteria:
a. komitmen dan tanggung jawab;
b. bahan;
c. proses;
d. produk; dan
e. pemantauan dan evaluasi."
"{""jenis_peraturan"": ""Perpres"", ""nomor_peraturan"": ""6"", ""tahun_peraturan"": ""2023"", ""tipe_bagian"": ""Pasal 5"", ""bagian_dari"": """", ""judul_peraturan"": ""Tentang Sertifikasi Halal Obat, Produk Biologi, Dan Alat Kesehatan"", ""status"": ""berlaku""}","(1) Komitmen dan tanggung jawab sebagaimana
dimaksud dalam Pasal 4 ayat (4) huruf a berbentuk
pernyataan tertulis dari pimpinan manajemen
perrrsahaan yang memuat komitmen dan tanggung
jawab untuk mengembangkan dan menerapkan cara
pembuatan yang halal.
SK No 148619A
(2) Komitmen .
PRES IDEN
(2) Komitmen dan tanggung jawab sebagaimana
dimaksud pada ayat (1) mencakup unsur:
a. kebijakan halal;
b. pimpinan manajemen; dan
c. pembinaan sumber daya manusia."
"{""jenis_peraturan"": ""Perpres"", ""nomor_peraturan"": ""6"", ""tahun_peraturan"": ""2023"", ""tipe_bagian"": ""Pasal 6"", ""bagian_dari"": """", ""judul_peraturan"": ""Tentang Sertifikasi Halal Obat, Produk Biologi, Dan Alat Kesehatan"", ""status"": ""berlaku""}","(1) Bahan sebagaimana dimaksud dalam Pasal 4
ayat (4) huruf b merupakan unsur yang digunakan
untuk membuat atau menghasilkan produk yang
dipersyaratkan dalam cara pembuatan yang halal
mencakup:
a. bahan baku yang mencakup zat aktif dan
bahan tambahan;
b. kemasan, pelumas, glrease, atau sanitizer yang
kontak langsung dengan bahan atau produk;
c. bahan penolong pen5rucian yang kontak
langsung dengan fasilitas produksi untuk
memproduksi produk; dan
d. media untuk validasi hasil pen5rucian fasilitas
yang kontak langsung dengan bahan atau
produk.
(2) Bahan tambahan sebagaimana dimaksud pada
ayat (1) huruf a merupakan semua bahan selain zat
aktif yang digunakan dalam pembuatan bahan baku
dan produk jadi.
(3) Bahan penolong penyucian atau media sebagaimana
dimaksud pada ayat (1) huruf c dan huruf d berlaku
bagi produk yang menggunakan fasilitas produksi
bersama dengan produk yang tidak diajukan
sertifikasi halalnya dan tidak mengandung bahan
yang diharamkan.
SK No 148620 A
(4) Bahan
PRES IDEN
REPUBLIK TNOONESI^A
(4) Bahan sebagaimana dimaksud pada ayat (1) berasal
dari hewan, tumbuhan, mikroba, bahan yang
dihasilkan melalui proses kimiawi, proses biologi,
atau proses rekayasa genetik.
(5) Bahan yang digunakan dalam cara pembuatan yang
halal:
a. wajib bersertifikat halal kecuali bahan yang
termasuk kategori bahan tidak kritis sesuai
dengan ketentuan peraturan perundang-
undangan;
b. tidak berasal dari bahan yang diharamkan
sesuai syariat Islam dan ketentuan peraturan
perundang-undangan;
c. tidak dihasilkan dari fasilitas produksi yang
juga digunakan untuk membuat produk yang
tidak halal;
d. tidak bercampur dan/atau bersinggungan
dengan bahan yang diharamkan sesuai syariat
Islam dan ketentuan peraturan perundang-
undangan;
e. bahan hewani dan produk turunannya harus
berasal dari hewan halal yang disembelih sesuai
syariat Islam, kecuali bagi hewan halal yang
secara syariat Islam tidak perlu disembelih;
f. harrrs memenuhi aspek keamanan dan
kesehatan sesuai dengan ketentuan peraturan
perundang-undangan; dan
g. bahan berrrpa alkohol/etanol dapat digunakan
selama alkohol/etanol tersebut tidak berasal
dari industri khamar yang secara medis tidak
membahayakan dan tidak disalahgunakan.
SK No 148621 A
Pasal 7 .. .
PRES IDEN"
"{""jenis_peraturan"": ""Perpres"", ""nomor_peraturan"": ""6"", ""tahun_peraturan"": ""2023"", ""tipe_bagian"": ""Pasal 7"", ""bagian_dari"": """", ""judul_peraturan"": ""Tentang Sertifikasi Halal Obat, Produk Biologi, Dan Alat Kesehatan"", ""status"": ""berlaku""}","(1) Proses sebagaimana dimaksud dalam Pasal 4 ayat
(4) hurrrf c yang wajib disiapkan Pelaku Usaha
terdiri atas:
a. tempat dan alat yang terpisah dengan tempat
dan alat proses produk tidak halal; dan
b. prosedur yang tertulis dan terdokumentasi.
(2) Tempat dan alat yang terpisah dengan tempat dan
alat proses produk yang tidak halal sebagaimana
dimaksud pada ayat (1) huruf a dan prosedur yang
tertulis dan terdokumentasi sebagaimana dimaksud
pada ayat (1) huruf b meliputi tempat, peralatan,
dan perangkat:
a. pengolahan;
b. penyimpanan; dan
c. pengemasan.
(3) Fasilitas produksi yang digunakan untuk
memproduksi Produk Halal dapat digunakan
bersama dengan fasilitas produksi yang digunakan
untuk memproduksi produk yang tidak diajukan
sertifikasi halal.
(4) Produk yang tidak diajukan sertifikasi halal
sebagaimana dimaksud pada ayat (3) harus berupa
produk yang tidak berasal dari bahan yang
mengandung bahan yang diharamkan.
(5) Pelaku Usaha yang menggunakan fasilitas produksi
yang digunakan untuk memproduksi Produk Halal
yang digunakan bersama dengan fasilitas produksi
yang digunakan untuk memproduksi produk yang
tidak diajukan sertifikasi halal sebagaimana
dimaksud pada ayat (3) harus menyampaikan
dokumen:
a. nama produk;
b. daftar produk dan bahan yang digunakan;
SK No 148622 A
c. proses. . .
PRES tDEN
c. proses pengolahan produk; dan
d. penyucian atau penyamakan pada fasilitas
produksi yang digunakan secara bersama."
"{""jenis_peraturan"": ""Perpres"", ""nomor_peraturan"": ""6"", ""tahun_peraturan"": ""2023"", ""tipe_bagian"": ""Pasal 8"", ""bagian_dari"": """", ""judul_peraturan"": ""Tentang Sertifikasi Halal Obat, Produk Biologi, Dan Alat Kesehatan"", ""status"": ""berlaku""}","Selain memenuhi ketentuan sebagaimana dimaksud
dalam Pasal 7, obat, Produk Biologi, dan Alat Kesehatan
yang diajukan sertifikasi halal juga harus memenuhi:
a. persyaratan keamanan, kemanfaatan/khasiat, dan
mutu yang dibuktikan dengan izin edar sesuai
dengan ketentuan peraturan perutndang-undangan;
dan
b. cara pembuatan yang baik sesuai dengan ketentuan
peraturan perundang-undangan."
"{""jenis_peraturan"": ""Perpres"", ""nomor_peraturan"": ""6"", ""tahun_peraturan"": ""2023"", ""tipe_bagian"": ""Pasal 9"", ""bagian_dari"": """", ""judul_peraturan"": ""Tentang Sertifikasi Halal Obat, Produk Biologi, Dan Alat Kesehatan"", ""status"": ""berlaku""}","(1) Produk sebagaimana dimaksud dalam Pasal 4
ayat (4) huruf d harus:
a. berasal dari bahan halal, diproses dengan cara
sesuai syariat Islam, menggunakan peralatan,
fasilitas produksi, sistem pengemasan, dan
penyimpanan yang tidak terkontaminasi dengan
bahan tidak halal;
b. tidak menggunakan nama yang mengarah pada
sesuatu yang diharamkan atau memuat
pornografi serta tidak memiliki
karakteristik/profil sensoris yang mengarah
pada produk haram atau yang telah dinyatakan
haram berdasarkan ketetapan fatwa Majelis
Ulama Indonesia;
SK No 148623 A
c. pengemasan. .
PRES IDEN
c. pengemasan dan pelabelannya menjamin
kehalalan dan mutu bahan kemasan yang
digunakan dengan desain kemasan, tanda,
simbol, logo, nama, dan gambar yang tidak
menyesatkan;
d. dikemas dan diberi label dengan tidak
melanggar prinsip syariat Islam; dan
e. teridentifikasi dan mampu ditelusuri dengan
jelas dan terjamin pemenuhan cara pembuatan
yang halal.
(2) Ketentuan sebagaimana dimaksud pada ayat (1)
huruf b dan huruf d hanya untuk obat bebas, obat
bebas terbatas, obat tradisional, suplemen
kesehatan, obat kuasi, dan Alat Kesehatan yang
penggunaannya tidak memerlukan bantuan tenaga
kesehatan."
"{""jenis_peraturan"": ""Perpres"", ""nomor_peraturan"": ""6"", ""tahun_peraturan"": ""2023"", ""tipe_bagian"": ""Pasal 10"", ""bagian_dari"": """", ""judul_peraturan"": ""Tentang Sertifikasi Halal Obat, Produk Biologi, Dan Alat Kesehatan"", ""status"": ""berlaku""}","(1) Pemantauan dan evaluasi sebagaimana dimaksud
dalam Pasal 4 ayat (4) huruf e merupakan prosedur
audit internal dan kaji ulang manajemen yang
disiapkan, dilaksanakan, didokumentasikan,
dipelihara, dan dilaporkan oleh Pelaku Usaha
kepada Badan Penyelenggara Jaminan Produk Halal.
(2) Pemantauan dan evaluasi sebagaimana dimaksud
pada ayat (1) dilakukan dalam rangka memenuhi
persyaratan pengajuan sertifikasi halal."
