metadata,content
"{""jenis_peraturan"": ""PP"", ""nomor_peraturan"": ""101"", ""tahun_peraturan"": ""2012"", ""tipe_bagian"": ""Pasal 1"", ""bagian_dari"": ""Bab II - Penetapan Kriteria Dan Pendataan Fakir Miskin"", ""judul_peraturan"": ""Tentang Penerima Bantuan Iuran Jaminan Kesehatan"", ""status"": ""berlaku""}","Dalam Peraturan Pemerintah ini yang dimaksud dengan:
1. Jaminan Kesehatan adalah jaminan berupa
perlindungan kesehatan agar peserta memperoleh
manfaat pemeliharaan kesehatan dan perlindungan
dalam memenuhi kebutuhan dasar kesehatan yang
diberikan kepada setiap orang yang telah membayar
iuran atau iurannya dibayar oleh Pemerintah.
2. Iuran adalah sejumlah uang yang dibayar secara
teratur oleh peserta, pemberi kerja, dan/atau
Pemerintah.
3. Bantuan Iuran Jaminan Kesehatan yang selanjutnya
disebut Bantuan Iuran adalah I uran program
Jaminan Kesehatan bagi Fakir Miskin dan Orang
Tidak Mampu yang dibayar oleh Pemerintah.
4. Penerima Bantuan Iuran Jaminan Kesehatan yang
selanjutnya disebut PBI Ja minan Kesehatan adalah
Fakir Miskin dan Orang Tidak Mampu sebagai
peserta program jaminan kesehatan.
5. Fakir Miskin adalah orang yang sama sekali tidak
mempunyai sumber mata pencaharian dan/atau
mempunyai sumber mata pencaharian tetapi tidak
mempunyai kemam puan memenuhi kebutuhan
dasar yang layak bagi kehidupan dirinya dan/atau
keluarganya.
6. Orang . . .
6. Orang Tidak Mampu adalah orang yang mempunyai
sumber mata pencaharian , gaji atau upah, yang
hanya mampu memenuhi kebutuhan dasar yang
layak namun tidak mampu membayar I uran bagi
dirinya dan keluarganya.
7. Dewan Jaminan Sosial Nasional yang selanjutnya
disingkat DJSN adalah dewan yang berfungsi
untuk membantu Presiden dalam perumusan
kebijakan umum dan sinkronisasi
penyelenggaraan sistem jaminan sosial nasional.
8. Badan Penyelenggara Jaminan Sosial yang
selanjutnya dis ingkat BPJS adalah badan hukum
yang dibentuk untuk menyelenggarakan program
jaminan sosial.
9. Pemerintah Pusat yang selanjutnya disebut
Pemerintah adalah Presiden Republik Indonesia
sebagaimana di maksud dalam Undang -Undang
Dasar Negara Republik Indonesia Tahun 1945.
10. Menteri adalah menteri yang menyelenggarakan
urusan pemerintahan di bidang sosial.
DAN ORANG TIDAK MAMPU"
"{""jenis_peraturan"": ""PP"", ""nomor_peraturan"": ""101"", ""tahun_peraturan"": ""2012"", ""tipe_bagian"": ""Pasal 2"", ""bagian_dari"": ""Bab II - Penetapan Kriteria Dan Pendataan Fakir Miskin"", ""judul_peraturan"": ""Tentang Penerima Bantuan Iuran Jaminan Kesehatan"", ""status"": ""berlaku""}","(1) Kriteria Fakir M iskin dan Orang Tidak Mampu
ditetapkan oleh Menteri setelah berkoordinasi dengan
menteri dan/atau pimpinan lembaga terkait.
(2) Kriteria . . .
(2) Kriteria Fakir Miskin dan Orang Tidak Mampu
sebagaimana dimaksud pada ayat ( 1) menjadi dasar
bagi lembaga yang menyelenggarakan urus an
pemerintahan di bidang s tatistik untuk melakukan
pendataan."
"{""jenis_peraturan"": ""PP"", ""nomor_peraturan"": ""101"", ""tahun_peraturan"": ""2012"", ""tipe_bagian"": ""Pasal 3"", ""bagian_dari"": ""Bab III - Penetapan Penerima Bantuan Iuran"", ""judul_peraturan"": ""Tentang Penerima Bantuan Iuran Jaminan Kesehatan"", ""status"": ""berlaku""}","Hasil pendataan Fakir Miskin dan Orang Tidak Mampu
yang dilakukan oleh lembaga yang menyelenggarakan
urusan pemerintahan di bidang s tatistik diverifikasi dan
divalidasi oleh Menteri untuk dijadikan data terpadu.
JAMINAN KESEHATAN"
"{""jenis_peraturan"": ""PP"", ""nomor_peraturan"": ""101"", ""tahun_peraturan"": ""2012"", ""tipe_bagian"": ""Pasal 4"", ""bagian_dari"": ""Bab III - Penetapan Penerima Bantuan Iuran"", ""judul_peraturan"": ""Tentang Penerima Bantuan Iuran Jaminan Kesehatan"", ""status"": ""berlaku""}","Data Fakir Miskin dan Orang Tidak Mampu yang tel ah
diverifikasi dan divalidasi sebagaimana dimaksud dalam
Pasal 3, sebelum ditetapkan sebagai data terpadu ol eh
Menteri, dikoordinasikan terlebih dahulu dengan menteri
yang menyelenggarakan urusan pemerintahan di bidang
keuangan dan menteri dan/atau pimpinan lembaga terkait."
"{""jenis_peraturan"": ""PP"", ""nomor_peraturan"": ""101"", ""tahun_peraturan"": ""2012"", ""tipe_bagian"": ""Pasal 5"", ""bagian_dari"": ""Bab III - Penetapan Penerima Bantuan Iuran"", ""judul_peraturan"": ""Tentang Penerima Bantuan Iuran Jaminan Kesehatan"", ""status"": ""berlaku""}","(1) Data terpadu yang ditetapkan oleh Menteri dirinci
menurut provinsi dan kabupaten/kota.
(2) Data terpadu sebagaimana dimaksud pada ayat (1)
menjadi dasar bagi penentuan jumlah nasional PBI
Jaminan Kesehatan.
Pasal 6 . . ."
"{""jenis_peraturan"": ""PP"", ""nomor_peraturan"": ""101"", ""tahun_peraturan"": ""2012"", ""tipe_bagian"": ""Pasal 6"", ""bagian_dari"": ""Bab IV - Pendaftaran Penerima Bantuan Iuran"", ""judul_peraturan"": ""Tentang Penerima Bantuan Iuran Jaminan Kesehatan"", ""status"": ""berlaku""}","Data terpadu sebagaimana dimaksud dalam Pasal 5
disampaikan oleh Menteri kepada menteri yang
menyelenggarakan urusan pemeri ntahan di bidang
kesehatan dan DJSN.
JAMINAN KESEHATAN"
"{""jenis_peraturan"": ""PP"", ""nomor_peraturan"": ""101"", ""tahun_peraturan"": ""2012"", ""tipe_bagian"": ""Pasal 7"", ""bagian_dari"": ""Bab IV - Pendaftaran Penerima Bantuan Iuran"", ""judul_peraturan"": ""Tentang Penerima Bantuan Iuran Jaminan Kesehatan"", ""status"": ""berlaku""}","Menteri yang menyelenggarakan urusan pemerintahan di
bidang k esehatan mendaftarkan jumlah nasional PBI
Jaminan Kesehatan yang telah ditetapkan sebag aimana
dimaksud dalam Pasal 5 ayat (2) sebagai peserta program
Jaminan Kesehatan kepada BPJS Kesehatan."
"{""jenis_peraturan"": ""PP"", ""nomor_peraturan"": ""101"", ""tahun_peraturan"": ""2012"", ""tipe_bagian"": ""Pasal 8"", ""bagian_dari"": ""Bab V - Pendanaan Iuran"", ""judul_peraturan"": ""Tentang Penerima Bantuan Iuran Jaminan Kesehatan"", ""status"": ""berlaku""}","BPJS kesehatan wajib memberikan nomor identitas
tunggal kepada peserta Jaminan Kesehat an yang telah
didaftarkan oleh menteri yang menyelenggarakan urusan
pemerintahan di bidang kesehatan."
"{""jenis_peraturan"": ""PP"", ""nomor_peraturan"": ""101"", ""tahun_peraturan"": ""2012"", ""tipe_bagian"": ""Pasal 9"", ""bagian_dari"": ""Bab V - Pendanaan Iuran"", ""judul_peraturan"": ""Tentang Penerima Bantuan Iuran Jaminan Kesehatan"", ""status"": ""berlaku""}","Pelaksanaan program Jaminan Kesehatan untuk PBI
Jaminan Kesehatan bersumber dari Anggaran
Pendapatan dan Belanja Negara.
Pasal 10 . . ."
"{""jenis_peraturan"": ""PP"", ""nomor_peraturan"": ""101"", ""tahun_peraturan"": ""2012"", ""tipe_bagian"": ""Pasal 10"", ""bagian_dari"": ""Bab VI - Perubahan Data Penerima Bantuan Iuran"", ""judul_peraturan"": ""Tentang Penerima Bantuan Iuran Jaminan Kesehatan"", ""status"": ""berlaku""}","(1) DJSN menyampaikan usulan anggaran Jaminan
Kesehatan bagi PBI Jaminan Kesehatan kepada
menteri yang menyelenggarakan urusan pemerintahan
di bidang kesehatan.
(2) Menteri yang menyelenggarakan urusan pemerintahan
di bidang k esehatan menyampaikan usulan anggaran
Jaminan Kesehatan bagi PBI Jaminan Kesehata n
kepada menteri yang menyelenggarakan urusan
pemerintahan di bidang k euangan berdasarkan usulan
DJSN.
(3) Usulan anggaran Jaminan K esehatan bagi PBI
Jaminan Kesehatan sebagaimana dimaksud pada ayat
(2) dilaksanakan sesuai dengan ketentuan peraturan
perundang-undangan.
JAMINAN KESEHATAN"
"{""jenis_peraturan"": ""PP"", ""nomor_peraturan"": ""101"", ""tahun_peraturan"": ""2012"", ""tipe_bagian"": ""Pasal 11"", ""bagian_dari"": ""Bab VI - Perubahan Data Penerima Bantuan Iuran"", ""judul_peraturan"": ""Tentang Penerima Bantuan Iuran Jaminan Kesehatan"", ""status"": ""berlaku""}","(1) Perubahan data PBI Jaminan Kesehatan dilakukan
dengan:
a. penghapusan data Fakir Miskin dan Orang Tidak
Mampu yang tercantum sebagai PBI Jaminan
Kesehatan karena tid ak lagi memenuhi kriteria;
dan
b. penambahan . . .
b. penambahan data Fakir Miskin dan Orang Tidak
Mampu untuk dicantumkan sebagai PBI Jaminan
Kesehatan karena memenuhi kriteria Fakir Miskin
dan Orang Tidak Mampu.
(2) Perubahan data PBI Jaminan Kesehatan sebagaimana
dimaksud pada ay at (1) diverifikasi dan divalidasi oleh
Menteri.
(3) Perubahan data ditetapkan oleh Menteri setelah
berkoordinasi dengan menteri yang menyelenggarakan
urusan pemerintahan di bidang k euangan dan menteri
dan/atau pimpinan lembaga terkait.
(4) Verifikasi dan validas i terhadap perubahan data PBI
Jaminan Kesehatan sebagaimana dimaksud pada ayat
(3) dilakukan setiap 6 (enam) bulan dalam tahun
anggaran berjalan."
"{""jenis_peraturan"": ""PP"", ""nomor_peraturan"": ""101"", ""tahun_peraturan"": ""2012"", ""tipe_bagian"": ""Pasal 12"", ""bagian_dari"": ""Bab VII - Peran Serta Masyarakat"", ""judul_peraturan"": ""Tentang Penerima Bantuan Iuran Jaminan Kesehatan"", ""status"": ""berlaku""}","Penduduk yang sudah tidak menjadi Fakir Miskin dan
sudah mampu wajib menjadi peserta Jaminan K esehatan
dengan membayar Iuran.
Pasal 4 . . ."
