metadata,content
"{""jenis_peraturan"": ""UU"", ""nomor_peraturan"": ""23"", ""tahun_peraturan"": ""2022"", ""tipe_bagian"": ""Pasal 1"", ""bagian_dari"": ""Bab II - Dasar, Asas, Dan Tujuan"", ""judul_peraturan"": ""Tentang Pendidikan Dan Layanan Psikologi"", ""status"": ""berlaku"", ""nomor_halaman"": ""2""}","Dalam Undang-Undang ini yang dimaksud dengan:
1. Psikologi adalah ilmu tentang proses mental yang
diungkapkan, diekspresikan, dan ditampilkan
dalam bentuk perilaku di berbagai bidang
kehidupan manusia berdasarkan metode ilmiah
dengan berbasis fakta.
2. Pendidikan .
SK No 148434 A
.)
-J-
2. Pendidikan Psikologi adalah usaha sadar dan
terencana dalam pendidikan formal yang terdiri atas
pendidikan akademik dan pendidikan profesi pada
jenjang pendidikan tinggi yang program studinya
terakreditasi untuk menghasilkan lulusan yang
memiliki kompetensi di bidang Psikologi.
3. Layanan Psikologi adalah segala aktivitas pemberian
jasa dan praktik Psikologi yang memerlukan
kompetensi sebagai Psikolog dalam rangka tindakan
promotif, preventif, kuratif, rehabilitatif, dan/atau
paliatif yang bertujuan untuk pengembangan
potensi diri dan peningkatan kesejahteraan
psikologis.
4. Standar Layanan adalah kriteria yang digunakan
sebagai pedoman penyelenggaraan layanan dan
acuan penilaian kualitas layanan untuk
mewujudkan Layanan Psikologi secara profesional.
5. Sertifikat Profesi Psikolog yang selanjutnya disebut
Sertifikat Profesi adalah surat tanda pengakuan
pemenuhan kompetensi di bidang Psikologi yang
diberikan kepada lulusan pendidikan profesi.
6. Registrasi adalah pencatatan resmi bagi Psikolog
yang telah memiliki Sertifikat Profesi.
7. Surat Tanda Registrasi yang selanjutnya disingkat
STR adalah bukti tertulis yang diberikan kepada
Psikolog yang telah diregistrasi.
8. Surat lzin Layanan Psikologi yang selanjutnya
disingkat SILP adalah bukti tertulis pemberian
kewenangan kepada Psikolog untuk memberikan
Layanan Psikologi.
SK No 152102 A
9. Psikolog. . .
PRESTDEN
9. Psikolog adalah seseorang yang telah menyelesaikan
program pendidikan profesi Psikologi baik di dalam
maupun di luar negeri yang diakui secara sah oleh
Pemerintah Pusat.
10. Klien adalah individu, kelompok atau komunitas,
dan/atau lembaga atau organisasi yang menerima
Layanan Psikologi.
1 1. Pemerintah Pusat adalah Presiden Republik
Indonesia yang memegang kekuasaan pemerintahan
negara Republik Indonesia yang dibantu oleh Wakil
Presiden dan menteri sebagaimana dimaksud dalam
Undang-Undang Dasar Negara Republik Indonesia
Tahun 1945.
12. Pemerintah Daerah adalah kepala daerah sebagai
unsur penyelenggara pemerintahan daerah yang
memimpin pelaksanaan urusan pemerintahan yang
menjadi kewenangan daerah otonom."
"{""jenis_peraturan"": ""UU"", ""nomor_peraturan"": ""23"", ""tahun_peraturan"": ""2022"", ""tipe_bagian"": ""Pasal 2"", ""bagian_dari"": ""Bab II - Dasar, Asas, Dan Tujuan"", ""judul_peraturan"": ""Tentang Pendidikan Dan Layanan Psikologi"", ""status"": ""berlaku"", ""nomor_halaman"": ""4""}","Pendidikan Psikologi dan Layanan Psikologi
diselenggarakan berdasarkan Pancasila."
"{""jenis_peraturan"": ""UU"", ""nomor_peraturan"": ""23"", ""tahun_peraturan"": ""2022"", ""tipe_bagian"": ""Pasal 3"", ""bagian_dari"": ""Bab II - Dasar, Asas, Dan Tujuan"", ""judul_peraturan"": ""Tentang Pendidikan Dan Layanan Psikologi"", ""status"": ""berlaku"", ""nomor_halaman"": ""4""}","(1) Pendidikan Psikologi diselenggarakan berasaskan:
a. kebenaran ilmiah;
b. penalaran;
SK No 152103 A
c. kejujuran;
c. kejujuran;
d. keadilan;
e. manfaat;
f. kebajikan;
g. tanggung jawab;
h. kebhinnekaan; dan
i. keterjangkauan.
(2) Layanan Psikologi diselenggarakan berasaskan:
a. nilai ilmiah;
b. etika;
c. profesionalitas;
d. nondiskriminasi;
e. manfaat;
f. kepedulian;
g. kerahasiaan; dan
h. pemberdayaan."
"{""jenis_peraturan"": ""UU"", ""nomor_peraturan"": ""23"", ""tahun_peraturan"": ""2022"", ""tipe_bagian"": ""Pasal 4"", ""bagian_dari"": ""Bab III - Pendidikan Psikologi"", ""judul_peraturan"": ""Tentang Pendidikan Dan Layanan Psikologi"", ""status"": ""berlaku"", ""nomor_halaman"": ""5""}","Pengaturan penyelenggaraan Pendidikan Psikologi dan
Layanan Psikologi bertujuan untuk:
a. meningkatkan kualitas Pendidikan Psikologi dan
Layanan Psikologi;
b. meningkatkan daya saing sumber daya manusia dan
kesejahteraan psikologis masyarakat; dan
c. memberikan pelindungan dan kepastian hukum
kepada Psikolog, Klien, dan masyarakat.
SK No 152104 A
Bagian Kesatu
Umum"
"{""jenis_peraturan"": ""UU"", ""nomor_peraturan"": ""23"", ""tahun_peraturan"": ""2022"", ""tipe_bagian"": ""Pasal 5"", ""bagian_dari"": ""Bab III - Pendidikan Psikologi"", ""judul_peraturan"": ""Tentang Pendidikan Dan Layanan Psikologi"", ""status"": ""berlaku"", ""nomor_halaman"": ""6""}","Pendidikan Psikologi terdiri atas:
a. pendidikan akademik; dan
b. pendidikan profesi."
"{""jenis_peraturan"": ""UU"", ""nomor_peraturan"": ""23"", ""tahun_peraturan"": ""2022"", ""tipe_bagian"": ""Pasal 6"", ""bagian_dari"": ""Bab III - Pendidikan Psikologi"", ""judul_peraturan"": ""Tentang Pendidikan Dan Layanan Psikologi"", ""status"": ""berlaku"", ""nomor_halaman"": ""6""}","Pendidikan akademik sebagaimana dimaksud dalam
Pasal 5 huruf a terdiri atas:
a. program sarjana;
b. program magister; dan
c. program doktor."
"{""jenis_peraturan"": ""UU"", ""nomor_peraturan"": ""23"", ""tahun_peraturan"": ""2022"", ""tipe_bagian"": ""Pasal 7"", ""bagian_dari"": ""Bab III - Pendidikan Psikologi"", ""judul_peraturan"": ""Tentang Pendidikan Dan Layanan Psikologi"", ""status"": ""berlaku"", ""nomor_halaman"": ""6""}","(1) Program magister sebagaimana dimaksud dalam
Pasal 6 huruf b dapat diikuti oleh lulusan program
sarjana atau sarjana terapan dari berbagai bidang
studi.
(2) Program doktor sebagaimana dimaksud dalam
Pasal 6 huruf c dapat diikuti oleh lulusan program
magister atau magister terapan dari berbagai
bidang studi.
SK No 152105 A
Pasal 8...
PRES IDEN"
"{""jenis_peraturan"": ""UU"", ""nomor_peraturan"": ""23"", ""tahun_peraturan"": ""2022"", ""tipe_bagian"": ""Pasal 8"", ""bagian_dari"": ""Bab III - Pendidikan Psikologi"", ""judul_peraturan"": ""Tentang Pendidikan Dan Layanan Psikologi"", ""status"": ""berlaku"", ""nomor_halaman"": ""7""}","(1) Pendidikan profesi sebagaimana dimaksud dalam
Pasal 5 huruf b terdiri atas:
a. program profesi;
b. program spesialis; dan
c. program subspesialis.
(2) Program profesi sebagaimana dimaksud pada
ayat (1) huruf a merupakan pendidikan keahlian
yang diperuntukkan bagi lulusan Pendidikan
Psikologi program sarjana.
(3) Program spesialis sebagaimana dimaksud pada
ayat (1) huruf b merupakan program lanjutan dari
program profesi.
(4) Program subspesialis sebagaimana dimaksud pada
ayat (1) huruf c merupakan program lanjutan dari
program spesialis."
"{""jenis_peraturan"": ""UU"", ""nomor_peraturan"": ""23"", ""tahun_peraturan"": ""2022"", ""tipe_bagian"": ""Pasal 9"", ""bagian_dari"": ""Bab III - Pendidikan Psikologi"", ""judul_peraturan"": ""Tentang Pendidikan Dan Layanan Psikologi"", ""status"": ""berlaku"", ""nomor_halaman"": ""7""}","(1) Pendidikan profesi sebagaimana dimaksud dalam
Pasal 8 diselenggarakan oleh perguruan tinggi
bekerja sama dengan induk organisasi profesi
himpunan Psikologi yang bertanggung jawab atas
mutu layanan profesi.
(2) Program pada pendidikan profesi program spesialis
dan program subspesialis sebagaimana dimaksud
dalam Pasal 8 ayat (1) huruf b dan huruf c memiliki
bidang keilmuan.
(3) Bidang keilmuan sebagaimana dimaksud pada
ayat (2) ditetapkan oleh Pemerintah Pusat
berdasarkan usulan dari asosiasi penyelenggara
pendidikan tinggi Psikologi di Indonesia dan induk
organisasi profesi himpunan Psikologi.
SK No 148435 A
Pasal 10. . ."
"{""jenis_peraturan"": ""UU"", ""nomor_peraturan"": ""23"", ""tahun_peraturan"": ""2022"", ""tipe_bagian"": ""Pasal 10"", ""bagian_dari"": ""Bab III - Pendidikan Psikologi"", ""judul_peraturan"": ""Tentang Pendidikan Dan Layanan Psikologi"", ""status"": ""berlaku"", ""nomor_halaman"": ""8""}","(1) Lulusan pendidikan akademik sebagaimana
dimaksud dalam Pasal 6 mendapatkan ljazah dan
gelar akademik sesuai dengan ketentuan peraturan
perundang-undangan.
(2) Lulusan pendidikan profesi sebagaimana
dimaksud dalam Pasal 8 mendapatkan Sertifikat
Profesi dan gelar profesi sesuai dengan ketentuan
peraturan perundang-undangan.
Bagian Kedua
Penyelenggaraan Pendidikan Psikologi"
