metadata,content
"{""jenis_peraturan"": ""UU Darurat"", ""nomor_peraturan"": ""5"", ""tahun_peraturan"": ""1958"", ""tipe_bagian"": ""Pasal 1"", ""bagian_dari"": """", ""judul_peraturan"": ""Tentang Kedudukan Hukum Apotek Darurat""}","(1) Ijin-ijin yang telah diberikan oleh Menteri Kesehatan kepada asisten
apoteker untuk melakukan pekerjaan pharmasi sendiri tanpa dibawah
pengawasan seorang apoteker menurut pasal 1 Undang -undang No.4
tahun 1953 (Lembaran -Negara tahun 1953 No. 19), tetap berlaku
sampai paling lama 5 tahun sesudah tanggal 10 Okober 1958.
(2) Jika asisten apoteker yang telah diberi ijin tersebut pasal 1 ayat (1) , di
sini selanjutnya disebut pemegang ij in, karena apapun juga berhenti
menjalankan pekerjaan pharmasi ditempat yang tercantum dalam
surat ijin itu atau jika menurut Menteri Kesehatan ada sebab yang
beralasan untuk mencabutnya, maka ijinnya akan dicabut."
"{""jenis_peraturan"": ""UU Darurat"", ""nomor_peraturan"": ""5"", ""tahun_peraturan"": ""1958"", ""tipe_bagian"": ""Pasal 2"", ""bagian_dari"": """", ""judul_peraturan"": ""Tentang Kedudukan Hukum Apotek Darurat""}","Terhadap pemegang-pemegang ijin yang dimaksud dalam pasal 1, berlaku
peraturan-peraturan di bawah ini."
"{""jenis_peraturan"": ""UU Darurat"", ""nomor_peraturan"": ""5"", ""tahun_peraturan"": ""1958"", ""tipe_bagian"": ""Pasal 3"", ""bagian_dari"": """", ""judul_peraturan"": ""Tentang Kedudukan Hukum Apotek Darurat""}","Ijin yang telah diberikan untuk membuka apotek darurat berlaku untuk
apotek yang tersebut dalam surat ijin itu.
Pasal 4. …"
"{""jenis_peraturan"": ""UU Darurat"", ""nomor_peraturan"": ""5"", ""tahun_peraturan"": ""1958"", ""tipe_bagian"": ""Pasal 4"", ""bagian_dari"": """", ""judul_peraturan"": ""Tentang Kedudukan Hukum Apotek Darurat""}","Dalam hal menyusun dan mengurus apot ek darurat itu, maka hak dan
kewajiban menurut hukum seorang pemegang ijin adalah sama dengan
hak dan kewajiban seorang apoteker dalam hal menyusun dan mengurus
apotek biasa, tetapi dengan pembatasan-pembatasan yang diadakan dalam
atau menurut Undang-undang Darurat ini."
"{""jenis_peraturan"": ""UU Darurat"", ""nomor_peraturan"": ""5"", ""tahun_peraturan"": ""1958"", ""tipe_bagian"": ""Pasal 5"", ""bagian_dari"": """", ""judul_peraturan"": ""Tentang Kedudukan Hukum Apotek Darurat""}","Pemegang ijin dilarang menyerahkan barang beracun, kecuali kalau
penyerahan itu dilakukan atas resep dokter.
Tanpa memekai resep dokter, maka pemegang ijin boleh menyerahkan
barang itu kepada apoteker, dokter yang berhak menyerah kan obat-obat,
dokter hewan atau pemegang ijin lain."
"{""jenis_peraturan"": ""UU Darurat"", ""nomor_peraturan"": ""5"", ""tahun_peraturan"": ""1958"", ""tipe_bagian"": ""Pasal 6"", ""bagian_dari"": """", ""judul_peraturan"": ""Tentang Kedudukan Hukum Apotek Darurat""}","Pemegang ijin dilarang mempunyai, memiliki, menyediakan menyimpan,
mengangkut, membuat, membahankan dan menjual atau menyerahkan
""madat"" (candu, jicing, dan jicingke), cocaine ment ah, ecgonine dan
damar ganja (Indishe hennep), semuanya menurut ""Verdovende middelen
ordonnantie"" (Staatsblad 1927 No.278).
Pasal 7. …"
"{""jenis_peraturan"": ""UU Darurat"", ""nomor_peraturan"": ""5"", ""tahun_peraturan"": ""1958"", ""tipe_bagian"": ""Pasal 7"", ""bagian_dari"": """", ""judul_peraturan"": ""Tentang Kedudukan Hukum Apotek Darurat""}","Pemegang ijin dibolehkan mempunyai, memiliki atau menyediakan,
mengangkut atau menyuruh mengangkut, memb ahankan, menjual atau
menyerahkan obat -obat bius lain, tetapi semata -mata untuk maksud
kedokteran atau ilmu pengetahuan dan dengan mengindahkan peraturan -
peraturan yang akan diadakan lebih lanjut oleh Menteri Kesehatan."
"{""jenis_peraturan"": ""UU Darurat"", ""nomor_peraturan"": ""5"", ""tahun_peraturan"": ""1958"", ""tipe_bagian"": ""Pasal 8"", ""bagian_dari"": """", ""judul_peraturan"": ""Tentang Kedudukan Hukum Apotek Darurat""}","Pemegang ijin dilarang m elakukan perbuatan-perbuatan lain dengan atau
terhadap obat bius yang tidak tersebut dalam pasal 7, kecuali jika ia
memperolehnya menurut pasal 9."
"{""jenis_peraturan"": ""UU Darurat"", ""nomor_peraturan"": ""5"", ""tahun_peraturan"": ""1958"", ""tipe_bagian"": ""Pasal 9"", ""bagian_dari"": """", ""judul_peraturan"": ""Tentang Kedudukan Hukum Apotek Darurat""}","Pemegang ijin hanya dapat memperoleh bahan -bahan atau preparat -
preparat untuk apotek darurat dari :
1. apoteker;
2. Pedagang besar menurut ""Verdovende middelen ordonnantie""
(Staatsblad 1927 No.278);
3. Pedagang besar yang mempunyai ijin menurut ""Sterkwerkendegenees
middelen ordonnantie 1949"" (Staatsblad 1949 No. 419) yang
mempekerjakan apoteker atau asisten apoteker dalam perusahaannya;
4. Pemegang ijin lain;
5. Orang atau badan yang ditunjuk oleh Menteri Kesehatan.
Pasal 10. …"
"{""jenis_peraturan"": ""UU Darurat"", ""nomor_peraturan"": ""5"", ""tahun_peraturan"": ""1958"", ""tipe_bagian"": ""Pasal 10"", ""bagian_dari"": """", ""judul_peraturan"": ""Tentang Kedudukan Hukum Apotek Darurat""}","Pemegang ijin dilarang memperole h bahan -bahan atau preparat preparat
yang dimaksud dalam pasal 9 dengan cara lain, termasuk juga
mengimpornya."
