metadata,content
"{""jenis_peraturan"": ""UU"", ""nomor_peraturan"": ""4"", ""tahun_peraturan"": ""1953"", ""tipe_bagian"": ""Pasal 1"", ""bagian_dari"": """", ""judul_peraturan"": ""Tentang Apotik Darurat""}","(1) Dengan izin Menteri Kesehatan, seorang asisten -apoteker berhak
melakukan ilmu pharmasi (artsenijbereidkunst) sendiri (dengan tidak
dibawah pengawasan seorang apoteker) di sebuah apotik tertentu
jang didjalankan sebagai perusahaan partikulir.
(2) Hanja seorang asisten -apoteker jang menurut pendapat Menteri
Kesehatan cukup mempunjai pengalaman sebagai juru resep dan lagi
pula sekurang -kurangnja telah bekerdja sebagai asisten -apoteker
selama 15 tahun berturut -turut pada partikulir, atau bekerdja sebagai
asisten-apoteker selama 10 tahun, di antaranya 3 tahun pada
Pemerintah, d apat dipertimbangkan untuk memperoleh izin jang
dimaksud dalam ajat 1 pasal ini.
(3) Izin itu setiap waktu dapat dicabut, jika menurut Menteri Kesehatan
ada sebab jang beralasan untuk mencabutnya.
(4) Dalam hal-hal tersebut pada ajat (1) , (2) dan (3) Mente ri Kesehatan
mengambil keputusan, setelah mendengar pendapat sebuah panitia,
jang diadakan oleh Pemerintah untuk keperluan itu."
"{""jenis_peraturan"": ""UU"", ""nomor_peraturan"": ""4"", ""tahun_peraturan"": ""1953"", ""tipe_bagian"": ""Pasal 2"", ""bagian_dari"": """", ""judul_peraturan"": ""Tentang Apotik Darurat""}",Izin ini hanja berlaku untuk apotek jang tersebut di dalam surat-izin.
"{""jenis_peraturan"": ""UU"", ""nomor_peraturan"": ""4"", ""tahun_peraturan"": ""1953"", ""tipe_bagian"": ""Pasal 3"", ""bagian_dari"": """", ""judul_peraturan"": ""Tentang Apotik Darurat""}","Dalam hal menyusun dan mengurus apotek darurat itu, maka hak dan
kewajiban menurut hukum daripada seorang asisten apoteker jang telah
diberi izin, di sini selanjutnya disebut pemegang izin, adalah sama
dengan hak dan kewajiban seorang apoteker dalam hal me nyusun dan
mengurus apotek biasa, tetapi dengan pembatasan -pembatasan jang
diadakan dalam atau menurut Undang-undang ini.
Pasal 4 …"
"{""jenis_peraturan"": ""UU"", ""nomor_peraturan"": ""4"", ""tahun_peraturan"": ""1953"", ""tipe_bagian"": ""Pasal 4"", ""bagian_dari"": """", ""judul_peraturan"": ""Tentang Apotik Darurat""}","(1) Pemegang izin dilarang menjerahkan barang beracun, ketjuali kalau
penyerahan itu dilakukan atas resep dokter.
(2) Dengan tidak memakai resep demikian, pemegang izin boleh
menjerahkan barang itu kepada apoteker, dokter jang berhak
menjerahkan obat-obat, dokter hewan atau kepada pemegang izin
jang lain."
"{""jenis_peraturan"": ""UU"", ""nomor_peraturan"": ""4"", ""tahun_peraturan"": ""1953"", ""tipe_bagian"": ""Pasal 5"", ""bagian_dari"": """", ""judul_peraturan"": ""Tentang Apotik Darurat""}","(1) Pemegang izin dilarang mempunjai, memiliki, menjediakan,
menjimpan, mengangkut, membuat, membahankan dan menjual atau
menjerahkan ""madat"" (candu, jicing dan jicingko), cocaine mentah,
ecgonine dan damar ganda (Indische hennep), semuanja menurut
""Verdovende middelen ordonnantie"".
(2) Tentang obat -obat bius lain, pemegang izin dibolehkan
mempunjainja, memilikinja atau menjediakannja, mengangkutnja
atau menjuruh mengangkutnja, membahankannja, menjual atau
menjerahkannja, tetapi semata -mata untuk maksud kedokteran atau
ilmu pengetahuan dan dengan mengind ahkan peraturan -peraturan
jang akan diadakan lebih lanjut oleh Menteri Kesehatan.
(3) Perbuatan-perbuatan lain dengan atau terhadap obat bius jang tidak
tersebut dalam ajat 2, dilarang dilakukan oleh pemegang izin,
ketjuali bila ia memperolehnya menurut pasal jang berikut.
Pasal 6 …"
"{""jenis_peraturan"": ""UU"", ""nomor_peraturan"": ""4"", ""tahun_peraturan"": ""1953"", ""tipe_bagian"": ""Pasal 6"", ""bagian_dari"": """", ""judul_peraturan"": ""Tentang Apotik Darurat""}","(1) Pemegang izin hanja dapat memperoleh bahan -bahan dan preparat -
preparat untuk apotek darurat dari:
a. apoteker-apoteker:
b. pedagang-pedagang besar menurut ""Verdovende middelen
ordonnantie"";
c. pedagang-pedagang besar jang mempunjai izin menurut
""Sterkwerkende geneesmiddelen ordonnantie 1949"" jang
mempekerjakan apoteker atau asisten -apoteker dalam
perusahaannya,
d. pemegang-pemegang izin lain,
e. orang-orang atau badan -badan jang ditunjuk oleh Menteri
Kesehatan.
(2) Ia dilarang memperoleh bahan -bahan dan preparat -preparat jang
dimaksud dalam ajat 1 dengan cara lain, termasuk juga
mengimpornya."
"{""jenis_peraturan"": ""UU"", ""nomor_peraturan"": ""4"", ""tahun_peraturan"": ""1953"", ""tipe_bagian"": ""Pasal 7"", ""bagian_dari"": """", ""judul_peraturan"": ""Tentang Apotik Darurat""}","Jika diketahui atau patut dapat disangka oleh pemegang izin, bahwa
bahan-bahan atau preparat -preparat jang akan dibahankannya atau
diserahkannya tidak baik, maka ia tidak boleh membahankan atau
menjerahkannja."
"{""jenis_peraturan"": ""UU"", ""nomor_peraturan"": ""4"", ""tahun_peraturan"": ""1953"", ""tipe_bagian"": ""Pasal 8"", ""bagian_dari"": """", ""judul_peraturan"": ""Tentang Apotik Darurat""}","Pemegang izin dilarang mengekspor obat-obat dan/atau obat-obat bius.
Pasal 9 …"
"{""jenis_peraturan"": ""UU"", ""nomor_peraturan"": ""4"", ""tahun_peraturan"": ""1953"", ""tipe_bagian"": ""Pasal 9"", ""bagian_dari"": """", ""judul_peraturan"": ""Tentang Apotik Darurat""}","Pemegang izin dilarang membuat obat -obat dan preparat-preparat untuk
dipakai dengan jalan parenteral, ketjuali jika diberikan izin padanya
menurut ketentuan-ketentuan jang diatur di dalam Peraturan Pemerintah."
"{""jenis_peraturan"": ""UU"", ""nomor_peraturan"": ""4"", ""tahun_peraturan"": ""1953"", ""tipe_bagian"": ""Pasal 10"", ""bagian_dari"": """", ""judul_peraturan"": ""Tentang Apotik Darurat""}","Menteri Kesehatan berkuasa menetapk an peraturan lebih lanjut untuk
menjalankan undang -undang ini, serta juga peraturan -peraturan umum
jang harus ditaati oleh pemegang izin."
